population_size,generations,crossover_rate,mutation_rate,use_2opt,num_runs,mean_distance_km,std_distance_km,min_distance_km,max_distance_km,mean_execution_time,std_execution_time,mean_improvement_pct,mean_convergence_gen,feasible_rate
100,20,0.6,0.01,True,3,25.1995,3.5001,21.4994,28.4577,0.25,0.06,58.32,6.7,0.0
100,20,0.6,0.01,False,3,28.3811,4.0695,24.0684,32.1533,0.12,0.07,62.37,7,0.0
100,20,0.6,0.05,True,3,20.9815,1.4916,20.0262,22.7003,0.21,0.0,69.18,6.7,0.0
100,20,0.6,0.05,False,3,26.8596,2.7573,23.82,29.1999,0.08,0.01,63.06,7,0.0
100,20,0.6,0.2,True,3,20.6839,1.5901,19.1922,22.3568,0.22,0.01,80.67,7.3,33.3
100,20,0.6,0.2,False,3,21.6277,0.9371,20.6384,22.502,0.09,0.01,59.45,9,0.0
100,20,0.6,0.5,True,3,20.6225,1.8566,19.4646,22.764,0.25,0.01,79.12,6.7,66.7
100,20,0.6,0.5,False,3,25.8481,3.646,21.7346,28.6813,0.1,0.01,48.88,5.7,0.0
100,20,0.7,0.01,True,3,20.9062,2.5315,19.4238,23.8293,0.21,0.0,66.49,6.3,66.7
100,20,0.7,0.01,False,3,25.8381,2.1154,24.4074,28.268,0.1,0.01,53.03,7,0.0
100,20,0.7,0.05,True,3,22.0717,2.4997,19.5668,24.5661,0.21,0.01,71.02,6,33.3
100,20,0.7,0.05,False,3,25.3608,0.76,24.5462,26.0509,0.1,0.01,51.29,4.7,0.0
100,20,0.7,0.2,True,3,23.8266,2.0453,21.5322,25.4588,0.22,0.01,74.1,6.3,0.0
100,20,0.7,0.2,False,3,22.945,4.3508,19.4457,27.8164,0.09,0.0,71.74,6.7,33.3
100,20,0.7,0.5,True,3,21.6944,1.6596,19.8049,22.916,0.24,0.02,68.11,6.3,33.3
100,20,0.7,0.5,False,3,24.2267,3.8987,21.5161,28.6947,0.09,0.01,72.35,6.3,0.0
100,20,0.8,0.01,True,3,19.6811,2.6787,16.8401,22.1608,0.21,0.0,70.85,5.3,33.3
100,20,0.8,0.01,False,3,22.5465,0.8689,21.9206,23.5386,0.09,0.0,59.53,7,0.0
100,20,0.8,0.05,True,3,22.44,2.0538,20.0685,23.6421,0.21,0.01,62.61,6.7,0.0
100,20,0.8,0.05,False,3,21.9129,0.4327,21.4949,22.359,0.09,0.0,73.46,7.3,0.0
100,20,0.8,0.2,True,3,19.3238,2.7769,16.1413,21.2537,0.22,0.01,73.98,6.7,33.3
