population_size,generations,crossover_rate,mutation_rate,use_2opt,elitism_count,tournament_size,two_opt_iterations,num_runs,mean_distance_km,std_distance_km,min_distance_km,max_distance_km,mean_execution_time,std_execution_time,mean_improvement_pct,mean_convergence_gen,feasible_rate
100,20,0.6,0.01,True,2,3,100,3,18.7023,2.0828,16.3178,20.1662,0.31,0.03,75.52,11.7,66.7
100,20,0.6,0.01,True,2,3,500,3,22.02,2.4372,20.4483,24.8275,0.35,0.04,73.98,11,0.0
100,20,0.6,0.01,True,2,5,50,3,20.7553,1.9268,19.1214,22.8801,0.34,0.03,76.24,8,33.3
100,20,0.6,0.01,True,2,3,50,3,19.421,2.1382,17.012,21.0941,0.37,0.05,76.17,11.3,33.3
100,20,0.6,0.01,True,2,5,100,3,22.4307,1.7748,20.4933,23.9779,0.32,0.01,61.12,6.7,0.0
100,20,0.6,0.01,True,2,8,100,3,21.6444,3.4403,17.6812,23.8613,0.33,0.01,68.69,6,33.3
100,20,0.6,0.01,True,2,8,50,3,20.1251,1.6219,18.906,21.9659,0.36,0.03,77.39,5.7,66.7
100,20,0.6,0.01,True,2,5,500,3,22.5702,0.167,22.3887,22.7174,0.38,0.02,57.56,8.3,0.0
100,20,0.6,0.01,True,2,8,500,3,20.5293,1.3185,19.4201,21.9871,0.36,0.04,69.75,6.3,33.3
100,20,0.6,0.01,True,5,3,50,3,19.4476,1.9585,17.201,20.795,0.37,0.05,68.25,10.7,33.3
100,20,0.6,0.01,True,5,3,100,3,21.1479,0.2712,20.9459,21.4561,0.37,0.04,67.78,10.7,0.0
100,20,0.6,0.01,True,5,3,500,3,18.3707,2.341,15.7363,20.2128,0.36,0.08,68.03,9.3,66.7
100,20,0.6,0.01,True,5,5,50,3,21.001,1.077,19.7791,21.8126,0.32,0.05,71.26,7.3,33.3
100,20,0.6,0.01,True,5,5,100,3,21.3924,2.4238,18.6313,23.1694,0.31,0.03,69.46,8,33.3
100,20,0.6,0.01,True,5,5,500,3,19.5851,1.6579,18.0981,21.3728,0.32,0.05,71.49,12,66.7
100,20,0.6,0.01,True,5,8,50,3,22.3461,2.1894,20.5748,24.794,0.34,0.02,66.13,6.3,0.0
100,20,0.6,0.01,True,5,8,100,3,22.0621,0.5077,21.637,22.6243,0.38,0.04,67.99,6.3,0.0
100,20,0.6,0.01,True,10,3,50,3,21.1961,1.6408,19.3048,22.2392,0.35,0.02,67.2,11.3,33.3
100,20,0.6,0.01,True,5,8,500,3,21.5981,3.4034,18.5911,25.2929,0.39,0.02,72.25,7.3,33.3
100,20,0.6,0.01,True,10,3,100,3,20.6744,1.8223,18.6758,22.2438,0.37,0.03,74.84,10.3,33.3
100,20,0.6,0.01,True,10,3,500,3,20.9281,2.3038,18.8285,23.3926,0.39,0.03,68.95,11.3,33.3
100,20,0.6,0.01,True,10,5,50,3,19.7421,0.0281,19.7161,19.772,0.38,0.02,72.21,8.3,100.0
100,20,0.6,0.01,True,10,5,100,3,23.624,2.0039,21.3186,24.9484,0.38,0.02,71.72,7.3,0.0
100,20,0.6,0.01,True,10,5,500,3,21.4005,1.4193,19.7876,22.4587,0.39,0.0,71.05,10.3,33.3
100,20,0.6,0.01,False,2,3,50,3,20.7461,2.062,18.6567,22.7796,0.14,0.02,72.69,13.7,33.3
100,20,0.6,0.01,False,2,3,100,3,26.8029,2.2676,24.2108,28.4196,0.12,0.02,59.08,11,0.0
100,20,0.6,0.01,True,10,8,50,3,21.371,2.0821,19.3432,23.5035,0.37,0.03,68.51,6.3,33.3
100,20,0.6,0.01,True,10,8,100,3,22.6596,1.0677,21.8753,23.8755,0.34,0.01,69.41,5.7,0.0
100,20,0.6,0.01,True,10,8,500,3,22.692,2.7221,20.0416,25.4805,0.36,0.05,75.51,6,0.0
100,20,0.6,0.01,False,2,3,500,3,23.2951,4.1658,19.8695,27.9325,0.14,0.03,72.0,14.7,33.3
100,20,0.6,0.01,False,2,5,50,3,25.4761,1.4461,24.2605,27.0754,0.14,0.03,68.85,9.7,0.0
100,20,0.6,0.01,False,2,5,100,3,28.0568,6.1347,21.1464,32.8606,0.14,0.03,56.0,8.3,0.0
100,20,0.6,0.01,False,2,5,500,3,22.2058,2.7285,19.3947,24.8434,0.14,0.03,76.87,9.3,33.3
100,20,0.6,0.01,False,2,8,50,3,27.6687,2.8378,24.5572,30.1143,0.12,0.02,59.6,6.3,0.0
100,20,0.6,0.01,False,2,8,100,3,27.0317,2.6885,24.3554,29.7323,0.13,0.02,59.89,7.7,0.0
100,20,0.6,0.01,False,2,8,500,3,26.0051,4.1383,21.2635,28.8892,0.12,0.01,62.86,5.3,0.0
100,20,0.6,0.01,False,5,3,50,3,23.4064,2.587,20.4222,25.0139,0.11,0.02,66.85,9.7,0.0
100,20,0.6,0.01,False,5,3,100,3,21.9001,1.8983,20.0365,23.8313,0.08,0.01,60.56,10.7,0.0
100,20,0.6,0.01,False,5,5,50,3,22.9798,4.4836,17.9578,26.5805,0.09,0.01,66.98,11,33.3
100,20,0.6,0.01,False,5,3,500,3,22.2388,1.1002,20.9685,22.8867,0.1,0.0,73.52,14.7,0.0
100,20,0.6,0.01,False,5,5,100,3,24.7999,0.6744,24.1288,25.4775,0.09,0.01,69.33,7.7,0.0
100,20,0.6,0.01,False,5,5,500,3,22.1668,1.0821,21.0447,23.2039,0.09,0.01,61.8,8,0.0
100,20,0.6,0.01,False,5,8,100,3,25.0368,1.2608,23.6442,26.1007,0.09,0.03,70.07,6,0.0
100,20,0.6,0.01,False,5,8,50,3,25.483,1.6606,23.5773,26.6195,0.09,0.01,54.76,7.3,0.0
100,20,0.6,0.01,False,5,8,500,3,21.4217,3.6661,17.5118,24.7819,0.09,0.01,77.19,6.3,33.3
100,20,0.6,0.01,False,10,3,50,3,22.4682,2.0501,20.2238,24.2422,0.11,0.01,65.0,8.3,0.0
100,20,0.6,0.01,False,10,3,500,3,23.1664,2.1957,21.3799,25.6176,0.11,0.01,60.78,10.7,0.0
100,20,0.6,0.01,False,10,3,100,3,24.4386,0.5524,23.9775,25.0509,0.11,0.01,73.8,14.3,0.0
100,20,0.6,0.01,False,10,5,50,3,24.0262,2.1131,21.6171,25.566,0.11,0.01,72.74,7.3,0.0
100,20,0.6,0.01,False,10,5,100,3,26.4506,2.5364,24.4611,29.3068,0.12,0.02,62.78,12,0.0
100,20,0.6,0.01,False,10,5,500,3,24.5384,3.5945,20.7691,27.9279,0.1,0.02,46.77,6,0.0
100,20,0.6,0.01,False,10,8,50,3,25.8066,6.5952,21.0375,33.333,0.13,0.01,59.97,5.3,0.0
