population_size,generations,crossover_rate,mutation_rate,use_2opt,run_number,best_distance_km,best_fitness,travel_time_minutes,is_feasible,execution_time_seconds,initial_distance_km,final_distance_km,improvement_km,improvement_percentage,convergence_generation
100,20,0.6,0.01,True,1,21.4994,0.046383,28.17,False,0.31,67.673,20.5598,47.1132,69.62,8
100,20,0.6,0.01,True,2,25.6414,0.037507,32.13,False,0.23,48.4496,25.6614,22.7882,47.03,6
100,20,0.6,0.01,True,3,28.4577,0.032256,28.82,False,0.2,71.9406,30.0022,41.9384,58.3,6
100,20,0.6,0.01,False,1,28.9215,0.031448,37.83,False,0.2,104.719,30.799,73.92,70.59,7
100,20,0.6,0.01,False,2,32.1533,0.026254,36.8,False,0.09,60.9382,37.0897,23.8485,39.14,5
100,20,0.6,0.01,False,3,24.0684,0.040706,32.91,False,0.08,104.1961,23.5663,80.6298,77.38,9
100,20,0.6,0.05,True,1,22.7003,0.043654,25.6,False,0.21,62.1728,21.9072,40.2657,64.76,8
100,20,0.6,0.05,True,2,20.0262,0.049935,20.98,False,0.21,65.2257,19.0262,46.1995,70.83,6
100,20,0.6,0.05,True,3,20.2181,0.049458,25.07,False,0.21,68.5156,19.2193,49.2964,71.95,6
100,20,0.6,0.05,False,1,27.559,0.033867,34.59,False,0.09,83.2995,28.5273,54.7722,65.75,6
100,20,0.6,0.05,False,2,23.82,0.04123,31.43,False,0.08,50.4162,23.2544,27.1618,53.88,7
100,20,0.6,0.05,False,3,29.1999,0.03097,32.31,False,0.08,102.8026,31.2892,71.5134,69.56,8
100,20,0.6,0.2,True,1,19.1922,0.052105,27.71,True,0.21,110.8971,18.1922,92.7049,83.6,8
100,20,0.6,0.2,True,2,20.5026,0.048759,23.9,False,0.22,88.9286,19.5091,69.4195,78.06,8
100,20,0.6,0.2,True,3,22.3568,0.044421,25.06,False,0.23,109.4153,21.512,87.9034,80.34,6
100,20,0.6,0.2,False,1,20.6384,0.048429,23.21,False,0.1,60.9323,19.649,41.2833,67.75,10
100,20,0.6,0.2,False,2,21.7426,0.045819,26.05,False,0.08,44.3574,20.8252,23.5323,53.05,10
100,20,0.6,0.2,False,3,22.502,0.044095,31.26,False,0.09,51.0529,21.6781,29.3748,57.54,7
100,20,0.6,0.5,True,1,22.764,0.043514,27.77,False,0.25,97.9109,21.9813,75.9295,77.55,6
100,20,0.6,0.5,True,2,19.4646,0.051375,22.03,True,0.24,76.1812,18.4646,57.7166,75.76,7
100,20,0.6,0.5,True,3,19.6389,0.050919,27.41,True,0.26,116.7935,18.6389,98.1545,84.04,7
100,20,0.6,0.5,False,1,21.7346,0.045837,25.92,False,0.1,70.7363,20.8163,49.92,70.57,4
100,20,0.6,0.5,False,2,27.1283,0.03466,32.91,False,0.1,53.8957,27.8513,26.0443,48.32,9
100,20,0.6,0.5,False,3,28.6813,0.031864,30.08,False,0.09,42.0567,30.3833,11.6734,27.76,4
100,20,0.7,0.01,True,1,23.8293,0.04121,31.33,False,0.21,47.1197,23.2661,23.8535,50.62,7
100,20,0.7,0.01,True,2,19.4656,0.051373,22.18,True,0.21,92.3469,18.4656,73.8813,80.0,7
100,20,0.7,0.01,True,3,19.4238,0.051483,21.07,True,0.21,59.1354,18.4238,40.7116,68.84,5
100,20,0.7,0.01,False,1,24.8389,0.039115,26.39,False,0.09,42.1781,24.5659,17.6122,41.76,8
100,20,0.7,0.01,False,2,24.4074,0.04,20.45,False,0.11,63.8531,24.0001,39.853,62.41,7
100,20,0.7,0.01,False,3,28.268,0.032591,36.95,False,0.09,65.8264,29.6835,36.1429,54.91,6
100,20,0.7,0.05,True,1,24.5661,0.039673,28.21,False,0.21,101.766,24.2063,77.5597,76.21,7
100,20,0.7,0.05,True,2,19.5668,0.051107,21.52,True,0.21,65.4596,18.5668,46.8927,71.64,5
100,20,0.7,0.05,True,3,22.0823,0.045041,25.85,False,0.2,60.9621,21.202,39.7601,65.22,6
100,20,0.7,0.05,False,1,26.0509,0.036706,34.47,False,0.1,61.6054,26.2431,35.3623,57.4,4
100,20,0.7,0.05,False,2,25.4852,0.037816,32.75,False,0.09,55.9243,25.4436,30.4807,54.5,5
100,20,0.7,0.05,False,3,24.5462,0.039713,30.85,False,0.1,41.666,24.1804,17.4856,41.97,5
100,20,0.7,0.2,True,1,21.5322,0.046306,25.96,False,0.22,86.6066,20.5954,66.0112,76.22,8
100,20,0.7,0.2,True,2,25.4588,0.037869,31.46,False,0.23,82.5173,25.4071,57.1102,69.21,5
100,20,0.7,0.2,True,3,24.4887,0.039832,34.59,False,0.21,104.2211,24.1055,80.1156,76.87,6
100,20,0.7,0.2,False,1,21.5728,0.046212,26.76,False,0.09,106.1785,20.6395,85.5391,80.56,7
100,20,0.7,0.2,False,2,27.8164,0.033399,34.63,False,0.09,62.1324,28.9407,33.1917,53.42,4
100,20,0.7,0.2,False,3,19.4457,0.051425,23.26,True,0.09,98.273,18.4457,79.8273,81.23,9
100,20,0.7,0.5,True,1,19.8049,0.050492,22.87,True,0.25,82.453,18.8049,63.6481,77.19,4
100,20,0.7,0.5,True,2,22.3622,0.044409,27.15,False,0.22,55.5656,21.5181,34.0474,61.27,8
100,20,0.7,0.5,True,3,22.916,0.043179,25.36,False,0.24,64.909,22.1595,42.7495,65.86,7
100,20,0.7,0.5,False,1,21.5161,0.046344,24.36,False,0.09,100.9861,20.578,80.4081,79.62,7
100,20,0.7,0.5,False,2,22.4692,0.044169,27.13,False,0.1,113.9077,21.6405,92.2672,81.0,7
100,20,0.7,0.5,False,3,28.6947,0.031841,34.45,False,0.09,69.7692,30.4063,39.3628,56.42,5
100,20,0.8,0.01,True,1,16.8401,0.059382,26.32,True,0.21,100.6759,15.8401,84.8358,84.27,6
100,20,0.8,0.01,True,2,20.0423,0.049894,23.05,False,0.21,37.0538,19.0423,18.0115,48.61,5
100,20,0.8,0.01,True,3,22.1608,0.044863,29.57,False,0.21,104.7392,21.2902,83.449,79.67,5
100,20,0.8,0.01,False,1,21.9206,0.04541,31.24,False,0.09,70.2521,21.0216,49.2304,70.08,6
100,20,0.8,0.01,False,2,22.1804,0.044819,29.97,False,0.09,38.1717,21.3122,16.8595,44.17,9
100,20,0.8,0.01,False,3,23.5386,0.041829,30.68,False,0.09,64.2186,22.9071,41.3115,64.33,6
100,20,0.8,0.05,True,1,23.6093,0.041678,27.68,False,0.22,43.0749,22.9937,20.0811,46.62,7
100,20,0.8,0.05,True,2,23.6421,0.041608,28.86,False,0.21,97.9898,23.0341,74.9557,76.49,5
100,20,0.8,0.05,True,3,20.0685,0.049829,22.35,False,0.21,54.0363,19.0686,34.9677,64.71,8
100,20,0.8,0.05,False,1,21.4949,0.046393,24.07,False,0.09,134.9978,20.5549,114.4429,84.77,8
100,20,0.8,0.05,False,2,21.8848,0.045492,30.59,False,0.09,64.5445,20.982,43.5625,67.49,7
100,20,0.8,0.05,False,3,22.359,0.044416,26.06,False,0.09,67.4675,21.5146,45.953,68.11,7
100,20,0.8,0.2,True,1,16.1413,0.061953,24.87,True,0.22,53.4471,15.1413,38.3058,71.67,7
100,20,0.8,0.2,True,2,20.5764,0.048579,25.83,False,0.22,64.826,19.585,45.2411,69.79,6
100,20,0.8,0.2,True,3,21.2537,0.046958,29.14,False,0.23,103.9004,20.2955,83.6049,80.47,7
100,20,0.8,0.2,False,1,35.548,0.021603,43.59,False,0.09,70.0508,45.2898,24.761,35.35,4
100,20,0.8,0.2,False,2,20.9666,0.047639,21.76,False,0.09,65.9897,19.9911,45.9986,69.71,4
100,20,0.8,0.2,False,3,21.2694,0.046921,27.43,False,0.09,42.0321,20.3123,21.7199,51.67,6
100,20,0.8,0.5,True,1,21.8565,0.045557,22.53,False,0.25,90.597,20.9507,69.6463,76.87,7
100,20,0.8,0.5,True,2,19.9893,0.050027,26.29,True,0.25,114.4812,18.9893,95.492,83.41,7
100,20,0.8,0.5,True,3,22.8469,0.043331,27.37,False,0.23,57.2994,22.0783,35.2211,61.47,6
100,20,0.8,0.5,False,1,21.1875,0.047115,26.85,False,0.09,63.4025,20.2248,43.1777,68.1,9
100,20,0.8,0.5,False,2,26.5987,0.035655,30.45,False,0.1,56.3679,27.0464,29.3215,52.02,8
100,20,0.8,0.5,False,3,22.5387,0.044014,28.82,False,0.09,57.5983,21.7202,35.8781,62.29,5
100,20,0.9,0.01,True,1,21.2553,0.046955,23.56,False,0.32,49.2501,20.2971,28.953,58.79,7
100,20,0.9,0.01,True,2,20.5648,0.048607,24.56,False,0.2,81.4167,19.573,61.8437,75.96,7
100,20,0.9,0.01,True,3,20.7707,0.048109,24.41,False,0.21,93.2157,19.7861,73.4296,78.77,5
100,20,0.9,0.01,False,1,28.8576,0.031558,28.1,False,0.09,78.2956,30.6878,47.6078,60.81,4
100,20,0.9,0.01,False,2,22.6175,0.043838,29.34,False,0.09,74.7409,21.8112,52.9297,70.82,8
100,20,0.9,0.01,False,3,23.8699,0.041124,28.86,False,0.09,45.3167,23.3168,21.9999,48.55,8
100,20,0.9,0.05,True,1,21.4748,0.04644,22.23,False,0.21,61.1765,20.5332,40.6433,66.44,9
100,20,0.9,0.05,True,2,18.6416,0.053644,22.27,True,0.22,65.0427,17.6416,47.4012,72.88,6
100,20,0.9,0.05,True,3,20.4679,0.048844,26.0,False,0.21,45.4295,19.4735,25.956,57.13,6
100,20,0.9,0.05,False,1,23.2926,0.042358,29.0,False,0.09,68.6458,22.6082,46.0376,67.07,7
100,20,0.9,0.05,False,2,25.8207,0.037155,31.35,False,0.09,52.341,25.9142,26.4268,50.49,6
100,20,0.9,0.05,False,3,20.7774,0.048093,22.39,False,0.09,51.9485,19.7931,32.1554,61.9,6
100,20,0.9,0.2,True,1,22.8399,0.043346,25.1,False,0.23,90.3377,22.0702,68.2675,75.57,7
100,20,0.9,0.2,True,2,20.8531,0.047911,24.34,False,0.21,53.7692,19.8721,33.897,63.04,5
100,20,0.9,0.2,True,3,21.2888,0.046876,27.03,False,0.24,52.4347,20.333,32.1018,61.22,7
100,20,0.9,0.2,False,1,27.3852,0.034185,32.23,False,0.08,67.3692,28.2522,39.117,58.06,6
100,20,0.9,0.2,False,2,23.0088,0.042975,26.39,False,0.08,88.2712,22.2691,66.0021,74.77,8
100,20,0.9,0.2,False,3,19.0739,0.052428,20.49,True,0.09,69.8312,18.0739,51.7573,74.12,6
100,20,0.9,0.5,True,1,20.2082,0.049482,29.39,False,0.24,83.586,19.2093,64.3766,77.02,8
100,20,0.9,0.5,True,2,16.9577,0.05897,23.74,True,0.25,77.2585,15.9577,61.3008,79.35,8
100,20,0.9,0.5,True,3,19.5877,0.051053,22.86,True,0.24,84.4696,18.5877,65.882,77.99,9
100,20,0.9,0.5,False,1,24.9567,0.038876,33.13,False,0.09,67.5258,24.7231,42.8026,63.39,7
