population_size,generations,crossover_rate,mutation_rate,use_2opt,elitism_count,tournament_size,two_opt_iterations,run_number,best_distance_km,best_fitness,travel_time_minutes,is_feasible,execution_time_seconds,initial_distance_km,final_distance_km,improvement_km,improvement_percentage,convergence_generation
100,20,0.6,0.01,True,2,3,50,1,19.756,0.050618,22.2,True,0.2,89.8183,18.756,71.0623,79.12,10
100,20,0.6,0.01,True,2,3,50,2,20.3237,0.049197,26.1,False,0.13,60.2075,19.3264,40.8811,67.9,7
100,20,0.6,0.01,True,2,3,50,3,21.7425,0.045819,24.75,False,0.13,30.2181,20.825,9.3931,31.08,8
100,20,0.6,0.01,True,2,3,100,1,21.7788,0.045735,25.02,False,0.13,78.1445,20.8649,57.2796,73.3,10
100,20,0.6,0.01,True,2,3,100,2,21.4401,0.046521,25.74,False,0.13,50.0548,20.4956,29.5592,59.05,10
100,20,0.6,0.01,True,2,3,100,3,20.3369,0.049165,22.11,False,0.13,100.5778,19.3398,81.2381,80.77,14
100,20,0.6,0.01,True,2,3,500,1,20.0223,0.049944,24.53,False,0.15,69.7873,19.0223,50.765,72.74,12
100,20,0.6,0.01,True,2,3,500,2,19.788,0.050536,22.04,True,0.14,41.8145,18.788,23.0265,55.07,11
100,20,0.6,0.01,True,2,3,500,3,19.9302,0.050175,23.79,True,0.14,42.6396,18.9302,23.7094,55.6,12
100,20,0.6,0.01,True,2,5,50,1,23.1203,0.042732,24.23,False,0.14,114.2318,22.4017,91.83,80.39,5
100,20,0.6,0.01,True,2,5,50,2,16.223,0.061641,22.5,True,0.15,57.6552,15.223,42.4322,73.6,10
100,20,0.6,0.01,True,2,5,50,3,20.5582,0.048624,27.36,False,0.14,66.5673,19.5662,47.0011,70.61,9
100,20,0.6,0.01,True,2,5,100,1,20.243,0.049396,23.34,False,0.14,76.4117,19.2445,57.1672,74.81,10
100,20,0.6,0.01,True,2,5,100,2,20.821,0.047988,24.07,False,0.15,64.9325,19.8385,45.094,69.45,8
100,20,0.6,0.01,True,2,5,100,3,19.9247,0.050189,28.99,True,0.14,70.9229,18.9247,51.9982,73.32,9
100,20,0.6,0.01,True,2,5,500,1,22.8547,0.043313,26.13,False,0.14,29.273,22.0876,7.1855,24.55,9
100,20,0.6,0.01,True,2,5,500,2,22.6047,0.043867,24.83,False,0.15,107.798,21.7964,86.0017,79.78,9
100,20,0.6,0.01,True,2,5,500,3,22.0815,0.045043,25.2,False,0.14,132.3611,21.2011,111.16,83.98,7
100,20,0.6,0.01,True,2,8,50,1,22.2347,0.044696,23.65,False,0.15,41.1339,21.3735,19.7603,48.04,6
100,20,0.6,0.01,True,2,8,50,2,21.0003,0.047559,27.11,False,0.15,81.9904,20.0265,61.9639,75.57,6
100,20,0.6,0.01,True,2,8,50,3,20.7665,0.048119,25.47,False,0.16,101.4711,19.7817,81.6894,80.51,7
100,20,0.6,0.01,True,2,8,100,1,22.0803,0.045045,26.89,False,0.17,82.9838,21.1998,61.7841,74.45,7
100,20,0.6,0.01,True,2,8,100,2,22.7635,0.043515,28.09,False,0.21,54.6511,21.9808,32.6703,59.78,6
100,20,0.6,0.01,True,2,8,100,3,22.7959,0.043443,27.98,False,0.2,71.012,22.0187,48.9933,68.99,7
100,20,0.6,0.01,True,2,8,500,1,20.5094,0.048742,24.93,False,0.2,63.9129,19.5161,44.3968,69.46,7
100,20,0.6,0.01,True,2,8,500,2,25.3826,0.03802,29.65,False,0.17,39.5751,25.3019,14.2732,36.07,8
100,20,0.6,0.01,True,2,8,500,3,23.954,0.040947,28.36,False,0.2,86.7347,23.4221,63.3126,73.0,5
100,20,0.6,0.01,True,5,3,50,1,26.1906,0.036436,34.78,False,0.14,92.9167,26.4452,66.4715,71.54,9
100,20,0.6,0.01,True,5,3,50,2,21.1385,0.047231,26.32,False,0.15,104.8377,20.1727,84.665,80.76,9
100,20,0.6,0.01,True,5,3,50,3,16.5367,0.060472,21.79,True,0.15,80.1952,15.5367,64.6585,80.63,13
100,20,0.6,0.01,True,5,3,100,1,18.9925,0.052652,25.52,True,0.19,91.6228,17.9925,73.6303,80.36,8
100,20,0.6,0.01,True,5,3,100,2,17.9556,0.055693,24.61,True,0.17,107.3283,16.9556,90.3727,84.2,13
100,20,0.6,0.01,True,5,3,100,3,18.3645,0.054453,26.52,True,0.14,38.1505,17.3645,20.786,54.48,12
100,20,0.6,0.01,True,5,3,500,1,17.965,0.055664,20.71,True,0.14,82.4114,16.965,65.4464,79.41,14
100,20,0.6,0.01,True,5,3,500,2,20.7926,0.048056,24.03,False,0.12,82.1166,19.8089,62.3077,75.88,12
100,20,0.6,0.01,True,5,3,500,3,19.1725,0.052158,21.76,True,0.15,65.4415,18.1725,47.269,72.23,8
100,20,0.6,0.01,True,5,5,50,1,28.087,0.032913,32.13,False,0.14,83.959,29.3831,54.5759,65.0,4
100,20,0.6,0.01,True,5,5,50,2,18.454,0.054189,28.2,True,0.13,89.2596,17.454,71.8055,80.45,10
100,20,0.6,0.01,True,5,5,50,3,26.5208,0.035803,31.32,False,0.13,42.9404,26.9303,16.0101,37.28,6
100,20,0.6,0.01,True,5,5,100,1,21.9414,0.045362,30.34,False,0.13,73.5641,21.0448,52.5193,71.39,6
100,20,0.6,0.01,True,5,5,100,2,24.5666,0.039672,28.97,False,0.13,117.3562,24.207,93.1492,79.37,4
100,20,0.6,0.01,True,5,5,100,3,22.4589,0.044192,26.47,False,0.13,69.5271,21.6287,47.8984,68.89,5
100,20,0.6,0.01,True,5,5,500,1,20.6905,0.048302,24.7,False,0.14,89.1457,19.7029,69.4428,77.9,5
100,20,0.6,0.01,True,5,5,500,2,20.056,0.04986,23.23,False,0.14,60.3944,19.0561,41.3384,68.45,11
100,20,0.6,0.01,True,5,5,500,3,19.8098,0.05048,27.71,True,0.14,69.6445,18.8098,50.8346,72.99,6
100,20,0.6,0.01,True,5,8,50,1,19.9046,0.05024,21.45,True,0.13,76.0186,18.9046,57.1141,75.13,5
100,20,0.6,0.01,True,5,8,50,2,19.9511,0.050123,23.0,True,0.14,91.336,18.9511,72.3849,79.25,6
100,20,0.6,0.01,True,5,8,50,3,15.8707,0.063009,23.66,True,0.13,93.5888,14.8707,78.7182,84.11,7
100,20,0.6,0.01,True,5,8,100,1,28.1147,0.032864,31.65,False,0.13,93.9063,29.4288,64.4776,68.66,5
100,20,0.6,0.01,True,5,8,100,2,21.6268,0.046087,27.41,False,0.14,88.8619,20.6983,68.1636,76.71,6
100,20,0.6,0.01,True,5,8,100,3,26.9513,0.03499,32.06,False,0.15,84.888,27.5792,57.3088,67.51,3
100,20,0.6,0.01,True,5,8,500,1,21.7284,0.045852,25.48,False,0.16,79.8972,20.8095,59.0877,73.95,8
100,20,0.6,0.01,True,5,8,500,2,23.182,0.042598,29.52,False,0.16,76.5256,22.4754,54.0502,70.63,8
100,20,0.6,0.01,True,5,8,500,3,20.6653,0.048364,23.79,False,0.16,81.2047,19.6767,61.5281,75.77,8
100,20,0.6,0.01,True,10,3,50,1,21.4949,0.046393,26.73,False,0.16,66.9402,20.5549,46.3853,69.29,14
100,20,0.6,0.01,True,10,3,50,2,23.96,0.040934,32.58,False,0.22,78.9615,23.4297,55.5318,70.33,7
100,20,0.6,0.01,True,10,3,50,3,23.6119,0.041672,30.1,False,0.15,52.5859,22.9969,29.589,56.27,10
100,20,0.6,0.01,True,10,3,100,1,23.632,0.041629,29.0,False,0.15,82.125,23.0217,59.1033,71.97,11
100,20,0.6,0.01,True,10,3,100,2,22.5036,0.044092,26.9,False,0.16,46.8514,21.68,25.1715,53.73,9
100,20,0.6,0.01,True,10,3,100,3,21.5933,0.046164,27.06,False,0.17,96.146,20.6619,75.4841,78.51,12
100,20,0.6,0.01,True,10,3,500,1,19.6993,0.050763,25.12,True,0.16,94.4489,18.6993,75.7496,80.2,11
100,20,0.6,0.01,True,10,3,500,2,20.6982,0.048284,23.52,False,0.15,108.0692,19.7108,88.3585,81.76,12
100,20,0.6,0.01,True,10,3,500,3,15.7417,0.063526,21.09,True,0.22,68.4301,14.7417,53.6884,78.46,12
100,20,0.6,0.01,True,10,5,50,1,20.5786,0.048574,22.66,False,0.16,35.6639,19.5872,16.0767,45.08,9
100,20,0.6,0.01,True,10,5,50,2,20.4223,0.048955,23.34,False,0.14,48.5853,19.4268,29.1585,60.02,6
100,20,0.6,0.01,True,10,5,50,3,19.1662,0.052175,21.68,True,0.14,73.0904,18.1662,54.9242,75.15,8
100,20,0.6,0.01,True,10,5,100,1,22.2456,0.044671,31.85,False,0.14,94.8172,21.3859,73.4313,77.45,7
100,20,0.6,0.01,True,10,5,100,2,21.7988,0.045689,25.33,False,0.14,37.4771,20.8869,16.5901,44.27,6
100,20,0.6,0.01,True,10,5,100,3,19.3458,0.051691,23.86,True,0.14,93.7075,18.3458,75.3617,80.42,8
100,20,0.6,0.01,True,10,5,500,1,19.0874,0.052391,24.99,True,0.15,71.041,18.0874,52.9537,74.54,12
100,20,0.6,0.01,True,10,5,500,2,24.5151,0.039778,27.66,False,0.14,89.1829,24.1398,65.0431,72.93,10
